,price,description,Zipcodes,districts,house_size,number_of_rooms
11624,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,86,3
11625,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,"68,23",3
11626,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,90,3
11627,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,3
11628,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,50,2
11629,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,"69,03",3
11630,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,37,2
11631,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,49,2
11632,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,88,3
11633,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,57,2
11634,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
11635,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,50,2
11636,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,82,3
11637,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,162,7
11638,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,65,3
11639,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,40,1
11640,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,"32,69",1
11641,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,86,3
11642,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,"68,23",3
11643,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,90,3
11644,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,3
11645,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,50,2
11646,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,"69,03",3
11647,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,37,2
11648,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,49,2
11649,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,88,3
11650,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,57,2
11651,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,2
11652,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,50,2
